n  ,algo   ,time                  ,comparisons
 2 ,insert ,0.0021457672119140625 ,          1
 2 ,merge  ,0.0019073486328125    ,          1
 2 ,hybrid ,0.0021457672119140625 ,          1
 3 ,insert ,0.0019073486328125    ,          3
 3 ,merge  ,0.0030994415283203125 ,          3
 3 ,hybrid ,0.0019073486328125    ,          3
 4 ,insert ,0.00286102294921875   ,          6
 4 ,merge  ,0.0040531158447265625 ,          4
 4 ,hybrid ,0.0030994415283203125 ,          6
 5 ,insert ,0.004291534423828125  ,         10
 5 ,merge  ,0.003814697265625     ,          7
 5 ,hybrid ,0.0030994415283203125 ,          7
 6 ,insert ,0.00476837158203125   ,         15
 6 ,merge  ,0.0050067901611328125 ,          8
 6 ,hybrid ,0.0040531158447265625 ,         10
 7 ,insert ,0.005245208740234375  ,         21
 7 ,merge  ,0.0069141387939453125 ,         11
 7 ,hybrid ,0.0050067901611328125 ,         12
 8 ,insert ,0.007867813110351562  ,         28
 8 ,merge  ,0.007867813110351562  ,         16
 8 ,hybrid ,0.0059604644775390625 ,         18
 9 ,insert ,0.009775161743164062  ,         36
 9 ,merge  ,0.009059906005859375  ,         21
 9 ,hybrid ,0.007152557373046875  ,         22
10 ,insert ,0.015020370483398438  ,         45
10 ,merge  ,0.010967254638671875  ,         25
10 ,hybrid ,0.009059906005859375  ,         25
11 ,insert ,0.012874603271484375  ,         55
11 ,merge  ,0.010967254638671875  ,         25
11 ,hybrid ,0.009298324584960938  ,         26
12 ,insert ,0.019073486328125     ,         66
12 ,merge  ,0.012874603271484375  ,         31
12 ,hybrid ,0.010013580322265625  ,         32
13 ,insert ,0.019788742065429688  ,         78
13 ,merge  ,0.012874603271484375  ,         36
13 ,hybrid ,0.009775161743164062  ,         38
14 ,insert ,0.023126602172851562  ,         91
14 ,merge  ,0.015020370483398438  ,         41
14 ,hybrid ,0.013113021850585938  ,         43
15 ,insert ,0.0247955322265625    ,        105
15 ,merge  ,0.0171661376953125    ,         41
15 ,hybrid ,0.013113021850585938  ,         46
16 ,insert ,0.029802322387695312  ,        120
16 ,merge  ,0.018358230590820312  ,         46
16 ,hybrid ,0.014066696166992188  ,         51
17 ,insert ,0.03361701965332031   ,        136
17 ,merge  ,0.02002716064453125   ,         48
17 ,hybrid ,0.01811981201171875   ,         53
18 ,insert ,0.04100799560546875   ,        153
18 ,merge  ,0.0209808349609375    ,         51
18 ,hybrid ,0.0171661376953125    ,         55
19 ,insert ,0.03790855407714844   ,        171
19 ,merge  ,0.022172927856445312  ,         59
19 ,hybrid ,0.019073486328125     ,         62
20 ,insert ,0.04291534423828125   ,        190
20 ,merge  ,0.024080276489257812  ,         60
20 ,hybrid ,0.02002716064453125   ,         62
21 ,insert ,0.051021575927734375  ,        210
21 ,merge  ,0.024080276489257812  ,         70
21 ,hybrid ,0.0209808349609375    ,         71
22 ,insert ,0.051975250244140625  ,        231
22 ,merge  ,0.028133392333984375  ,         72
22 ,hybrid ,0.02193450927734375   ,         75
23 ,insert ,0.06914138793945312   ,        253
23 ,merge  ,0.027894973754882812  ,         78
23 ,hybrid ,0.024080276489257812  ,         79
24 ,insert ,0.05984306335449219   ,        276
24 ,merge  ,0.027894973754882812  ,         77
24 ,hybrid ,0.023126602172851562  ,         81
25 ,insert ,0.06890296936035156   ,        300
25 ,merge  ,0.030994415283203125  ,         88
25 ,hybrid ,0.026226043701171875  ,         91
26 ,insert ,0.07033348083496094   ,        325
26 ,merge  ,0.031948089599609375  ,         92
26 ,hybrid ,0.026702880859375     ,         96
27 ,insert ,0.07677078247070312   ,        351
27 ,merge  ,0.03409385681152344   ,         96
27 ,hybrid ,0.028133392333984375  ,        100
28 ,insert ,0.09083747863769531   ,        378
28 ,merge  ,0.0362396240234375    ,        104
28 ,hybrid ,0.028848648071289062  ,        111
29 ,insert ,0.09775161743164062   ,        406
29 ,merge  ,0.0362396240234375    ,        106
29 ,hybrid ,0.028848648071289062  ,        115
30 ,insert ,0.102996826171875     ,        435
30 ,merge  ,0.03910064697265625   ,        116
30 ,hybrid ,0.03218650817871094   ,        124
31 ,insert ,0.11587142944335938   ,        465
31 ,merge  ,0.04029273986816406   ,        118
31 ,hybrid ,0.031948089599609375  ,        126
32 ,insert ,0.10704994201660156   ,        496
32 ,merge  ,0.041961669921875     ,        121
32 ,hybrid ,0.03504753112792969   ,        132
33 ,insert ,0.1380443572998047    ,        528
33 ,merge  ,0.04220008850097656   ,        125
33 ,hybrid ,0.03600120544433594   ,        134
34 ,insert ,0.11491775512695312   ,        561
34 ,merge  ,0.04315376281738281   ,        133
34 ,hybrid ,0.037670135498046875  ,        142
35 ,insert ,0.1399517059326172    ,        595
35 ,merge  ,0.04315376281738281   ,        135
35 ,hybrid ,0.03814697265625      ,        143
36 ,insert ,0.1537799835205078    ,        630
36 ,merge  ,0.047206878662109375  ,        140
36 ,hybrid ,0.04291534423828125   ,        147
37 ,insert ,0.1690387725830078    ,        666
37 ,merge  ,0.051975250244140625  ,        146
37 ,hybrid ,0.04673004150390625   ,        152
38 ,insert ,0.18286705017089844   ,        703
38 ,merge  ,0.049114227294921875  ,        143
38 ,hybrid ,0.04410743713378906   ,        145
39 ,insert ,0.18095970153808594   ,        741
39 ,merge  ,0.050067901611328125  ,        156
39 ,hybrid ,0.04506111145019531   ,        161
40 ,insert ,0.18477439880371094   ,        780
40 ,merge  ,0.052928924560546875  ,        165
40 ,hybrid ,0.047206878662109375  ,        169
41 ,insert ,0.19502639770507812   ,        820
