sizeOfArray,algo,time,comparisions
133,merge,0.2989768981933594,769
133,hybrid,0.2570152282714844,808
181,merge,0.4229545593261719,1138
181,hybrid,0.37407875061035156,1157
293,merge,0.7138252258300781,2023
293,hybrid,0.6568431854248047,2075
356,merge,0.8552074432373047,2576
356,hybrid,0.8261203765869141,2607
524,merge,1.3387203216552734,4075
524,hybrid,1.2359619140625,4239
588,merge,1.405954360961914,4688
588,hybrid,1.3158321380615234,4781
713,merge,1.7330646514892578,5860
713,hybrid,1.6040802001953125,5929
754,merge,1.7120838165283203,6269
754,hybrid,1.5649795532226562,6354
911,merge,2.1088123321533203,7823
911,hybrid,1.9292831420898438,8056
960,merge,2.1779537200927734,8305
960,hybrid,2.01416015625,8587
1069,merge,2.4302005767822266,9452
1069,hybrid,2.2439956665039062,9739
1158,merge,2.5680065155029297,10317
1158,hybrid,2.416849136352539,10531
1252,merge,2.7971267700195312,11316
1252,hybrid,2.652883529663086,11425
1417,merge,3.1549930572509766,13082
1417,hybrid,2.933025360107422,13209
1451,merge,3.2591819763183594,13423
1451,hybrid,2.9840469360351562,13557
1625,merge,3.6468505859375,15329
1625,hybrid,3.368854522705078,15596
1654,merge,3.7539005279541016,15635
1654,hybrid,3.468036651611328,15935
1768,merge,4.001140594482422,16836
1768,hybrid,3.690004348754883,17253
1931,merge,4.707813262939453,18682
1931,hybrid,4.123210906982422,19246
2043,merge,4.909038543701172,19862
2043,hybrid,4.461050033569336,20543
2131,merge,5.401134490966797,20815
2131,hybrid,4.895925521850586,21426
2190,merge,5.386114120483398,21551
2190,hybrid,5.015850067138672,22082
2285,merge,5.904197692871094,22668
2285,hybrid,5.367040634155273,23124
2434,merge,6.227016448974609,24386
2434,hybrid,5.740880966186523,24670
2510,merge,6.622076034545898,25226
2510,hybrid,5.975008010864258,25440
2620,merge,6.837129592895508,26497
2620,hybrid,6.2236785888671875,26674
2661,merge,6.4849853515625,26935
2661,hybrid,6.002902984619141,27138
2849,merge,6.8607330322265625,29159
2849,hybrid,6.443977355957031,29444
2928,merge,7.086992263793945,30030
2928,hybrid,6.709814071655273,30344
3040,merge,7.678985595703125,31351
3040,hybrid,6.909847259521484,31682
3064,merge,7.693767547607422,31713
3064,hybrid,6.9789886474609375,32029
3242,merge,8.093118667602539,33755
3242,hybrid,7.375001907348633,34254
3318,merge,8.374929428100586,34791
3318,hybrid,7.596015930175781,35359
3431,merge,8.551836013793945,36076
3431,hybrid,7.854223251342773,36787
3483,merge,8.807897567749023,36581
3483,hybrid,8.035898208618164,37352
3607,merge,8.957862854003906,38122
3607,hybrid,8.305072784423828,39000
3747,merge,9.340047836303711,39730
3747,hybrid,8.780241012573242,40751
3826,merge,9.487152099609375,40693
3826,hybrid,8.84103775024414,41805
3891,merge,9.731769561767578,41526
3891,hybrid,9.063005447387695,42705
3981,merge,9.957075119018555,42598
3981,hybrid,9.22083854675293,43871
4059,merge,10.213851928710938,43558
4059,hybrid,9.680747985839844,44898
4193,merge,10.925769805908203,45186
4193,hybrid,10.14399528503418,46445
4304,merge,10.944128036499023,46548
4304,hybrid,10.265111923217773,47693
4388,merge,11.11292839050293,47621
4388,hybrid,10.408878326416016,48702
4517,merge,11.501073837280273,49301
4517,hybrid,10.798931121826172,50231
4590,merge,12.440919876098633,50032
4590,hybrid,11.048078536987305,50909
4692,merge,12.121200561523438,51369
4692,hybrid,11.291980743408203,52172
4841,merge,12.516975402832031,53272
4841,hybrid,11.738061904907227,53872
4890,merge,12.558937072753906,53884
4890,hybrid,11.880159378051758,54468
4999,merge,12.876033782958984,55234
4999,hybrid,12.198925018310547,55690
5053,merge,13.373851776123047,55790
5053,hybrid,12.842178344726562,56204
5191,merge,13.91911506652832,57686
5191,hybrid,13.254165649414062,58036
5283,merge,13.674020767211914,58798
5283,hybrid,13.499021530151367,59195
5441,merge,14.76907730102539,60803
5441,hybrid,13.390779495239258,61232
5466,merge,14.341115951538086,61078
5466,hybrid,13.431072235107422,61542
5561,merge,14.502763748168945,62246
5561,hybrid,13.637304306030273,62716
5748,merge,15.062808990478516,64649
5748,hybrid,14.137983322143555,65207
5780,merge,15.130043029785156,65054
5780,hybrid,14.201879501342773,65617
5893,merge,15.446186065673828,66563
5893,hybrid,14.477729797363281,67173
6019,merge,15.800952911376953,68063
6019,hybrid,14.879941940307617,68693
6082,merge,16.067028045654297,68916
6082,hybrid,14.955997467041016,69555
6236,merge,16.560077667236328,70851
6236,hybrid,15.373945236206055,71610
6296,merge,16.61515235900879,71677
6296,hybrid,15.641927719116211,72493
6361,merge,16.802072525024414,72399
6361,hybrid,15.703916549682617,73336
6532,merge,17.31395721435547,74663
6532,hybrid,16.270160675048828,75742
6588,merge,17.434120178222656,75402
6588,hybrid,16.357898712158203,76546
6697,merge,18.29695701599121,76753
6697,hybrid,16.76797866821289,78015
6776,merge,18.017053604125977,77767
6776,hybrid,16.82901382446289,79111
6881,merge,18.37611198425293,79200
6881,hybrid,17.116785049438477,80577
7010,merge,18.77307891845703,80759
7010,hybrid,17.466068267822266,82290
7062,merge,18.829822540283203,81452
7062,hybrid,17.59624481201172,83051
7211,merge,19.495010375976562,83359
7211,hybrid,18.07427406311035,85127
7265,merge,19.48714256286621,84164
7265,hybrid,18.167972564697266,85978
7371,merge,19.935131072998047,85463
7371,hybrid,18.45693588256836,87377
7532,merge,20.18427848815918,87517
7532,hybrid,18.85986328125,89596
7628,merge,20.724058151245117,88854
7628,hybrid,19.403934478759766,90992
7654,merge,21.101713180541992,89156
7654,hybrid,19.334077835083008,91339
7757,merge,21.068096160888672,90616
7757,hybrid,19.482851028442383,92884
7864,merge,21.641969680786133,91930
7864,hybrid,20.239830017089844,94291
8042,merge,21.8961238861084,94078
8042,hybrid,20.35665512084961,96696
8065,merge,21.77119255065918,94481
8065,hybrid,20.31087875366211,97096
8163,merge,22.25804328918457,95795
8163,hybrid,20.786046981811523,98466
8264,merge,22.730112075805664,97111
8264,hybrid,21.533966064453125,99757
8366,merge,23.773908615112305,98499
8366,hybrid,22.00007438659668,101043
8532,merge,23.717880249023438,100683
8532,hybrid,22.259950637817383,103063
8646,merge,24.219036102294922,102195
8646,hybrid,22.9339599609375,104451
8727,merge,24.70874786376953,103403
8727,hybrid,23.105144500732422,105573
8825,merge,25.103092193603516,104568
8825,hybrid,23.0100154876709,106659
8929,merge,24.605989456176758,106019
