Size of Array, Insertion Sort Time (ms), Merge Sort Time (ms), Hybrid Sort Time (ms)
1, 0.00, 0.00, 100.00
2, 0.00, 0.00, 100.00
3, 0.00, 0.01, 100.00
4, 0.00, 0.01, 100.00
5, 0.00, 0.01, 100.00
6, 0.01, 0.01, 100.00
7, 0.01, 0.01, 100.00
8, 0.01, 0.02, 100.00
9, 0.02, 0.02, 100.00
10, 0.01, 0.02, 100.00
11, 0.02, 0.02, 100.00
12, 0.02, 0.02, 100.00
13, 0.02, 0.03, 100.00
14, 0.02, 0.03, 100.00
15, 0.03, 0.03, 100.00
16, 0.03, 0.03, 100.00
17, 0.03, 0.03, 100.00
18, 0.04, 0.03, 100.00
19, 0.04, 0.04, 100.00
20, 0.05, 0.15, 100.00
21, 0.05, 0.14, 100.00
22, 0.05, 0.05, 100.00
23, 0.06, 0.04, 100.00
24, 0.06, 0.05, 100.00
25, 0.07, 0.05, 100.00
26, 0.08, 0.05, 100.00
27, 0.08, 0.06, 100.00
28, 0.09, 0.06, 100.00
29, 0.09, 0.06, 100.00
30, 0.10, 0.06, 100.00
31, 0.11, 0.07, 100.00
32, 0.12, 0.07, 100.00
33, 0.17, 0.07, 100.00
34, 0.13, 0.07, 100.00
35, 0.15, 0.07, 100.00
36, 0.14, 0.07, 100.00
37, 0.14, 0.10, 100.00
38, 0.16, 0.08, 100.00
39, 0.19, 0.08, 100.00
40, 0.17, 0.10, 100.00
41, 0.18, 0.09, 100.00
42, 0.19, 0.10, 100.00
43, 0.27, 0.10, 100.00
44, 0.21, 0.20, 100.00
45, 0.37, 0.10, 100.00
46, 0.25, 0.13, 100.00
47, 0.28, 0.10, 100.00
48, 0.26, 0.12, 100.00
49, 0.39, 0.16, 100.00
50, 0.41, 0.15, 100.00
51, 0.46, 0.15, 100.00
52, 0.52, 0.16, 100.00
53, 0.44, 0.17, 100.00
54, 0.51, 0.17, 100.00
55, 0.64, 0.15, 100.00
56, 0.44, 0.15, 100.00
57, 0.55, 0.18, 100.00
58, 0.67, 0.25, 100.00
59, 0.60, 0.18, 100.00
60, 0.63, 0.19, 100.00
61, 0.66, 0.19, 100.00
62, 0.86, 0.18, 100.00
63, 0.61, 0.19, 100.00
64, 0.70, 0.16, 100.00
65, 0.48, 0.14, 100.00
66, 0.49, 0.15, 100.00
67, 0.58, 0.14, 100.00
68, 0.57, 0.15, 100.00
69, 0.56, 0.15, 100.00
70, 0.84, 0.21, 100.00
71, 0.74, 0.17, 100.00
72, 0.60, 0.16, 100.00
73, 0.65, 0.16, 100.00
74, 0.67, 0.17, 100.00
75, 0.69, 0.17, 100.00
76, 0.70, 0.17, 100.00
77, 1.00, 0.27, 100.00
78, 0.70, 0.19, 100.00
79, 0.73, 0.18, 100.00
80, 0.77, 0.22, 100.00
81, 0.99, 0.22, 100.00
82, 0.81, 0.30, 100.00
83, 0.85, 0.20, 100.00
84, 0.94, 0.30, 100.00
85, 1.14, 0.20, 100.00
86, 0.87, 0.20, 100.00
87, 0.89, 0.20, 100.00
88, 0.79, 0.20, 100.00
89, 0.90, 0.21, 100.00
90, 1.31, 0.22, 100.00
91, 1.00, 0.22, 100.00
92, 0.95, 0.22, 100.00
93, 1.03, 0.34, 100.00
94, 1.50, 0.33, 100.00
95, 1.47, 0.33, 100.00
96, 1.78, 0.33, 100.00
97, 1.55, 0.34, 100.00
98, 2.17, 0.35, 100.00
99, 1.68, 0.35, 100.00
100, 1.55, 0.25, 100.00
101, 1.29, 0.36, 100.00
102, 1.62, 0.36, 100.00
103, 1.80, 0.37, 100.00
104, 1.82, 0.37, 100.00
105, 1.76, 0.26, 100.00
106, 1.31, 0.26, 100.00
107, 1.34, 0.26, 100.00
108, 1.43, 0.28, 100.00
109, 1.61, 0.28, 100.00
110, 1.48, 0.29, 100.00
111, 1.71, 0.28, 100.00
112, 1.57, 0.27, 100.00
113, 1.41, 0.27, 100.00
114, 1.41, 0.29, 100.00
115, 1.63, 0.29, 100.00
116, 1.73, 0.30, 100.00
117, 1.65, 0.35, 100.00
118, 1.86, 0.29, 100.00
119, 1.62, 0.30, 100.00
120, 1.80, 0.30, 100.00
121, 1.65, 0.30, 100.00
122, 1.99, 0.30, 100.00
123, 1.76, 0.32, 100.00
124, 2.01, 0.31, 100.00
125, 1.97, 0.35, 100.00
126, 1.97, 0.37, 100.00
