dimension,edges,isDirectional,minWeight,maxWeight,queue,graphInput,time
1,0,False,0,1,heap,adjList,0.0019073486328125
1,0,False,0,1,heap,adjMatrix,0.011920928955078125
1,0,False,0,1,array,adjList,0.0030994415283203125
1,0,False,0,1,array,adjMatrix,0.008106231689453125
2,0,False,0,1,heap,adjList,0.0030994415283203125
2,0,False,0,1,heap,adjMatrix,0.009059906005859375
2,0,False,0,1,array,adjList,0.00286102294921875
2,0,False,0,1,array,adjMatrix,0.007867813110351562
3,0,False,0,1,heap,adjList,0.0030994415283203125
3,0,False,0,1,heap,adjMatrix,0.010251998901367188
3,0,False,0,1,array,adjList,0.0019073486328125
3,0,False,0,1,array,adjMatrix,0.0030994415283203125
4,0,False,0,1,heap,adjList,0.004291534423828125
4,0,False,0,1,heap,adjMatrix,0.012159347534179688
4,0,False,0,1,array,adjList,0.003814697265625
4,0,False,0,1,array,adjMatrix,0.0040531158447265625
5,0,False,0,1,heap,adjList,0.011920928955078125
5,0,False,0,1,heap,adjMatrix,0.0069141387939453125
5,0,False,0,1,array,adjList,0.010967254638671875
5,0,False,0,1,array,adjMatrix,0.012874603271484375
6,0,False,0,1,heap,adjList,0.009775161743164062
6,0,False,0,1,heap,adjMatrix,0.007152557373046875
6,0,False,0,1,array,adjList,0.0030994415283203125
6,0,False,0,1,array,adjMatrix,0.00286102294921875
7,0,False,0,1,heap,adjList,0.0030994415283203125
7,0,False,0,1,heap,adjMatrix,0.0021457672119140625
7,0,False,0,1,array,adjList,0.010013580322265625
7,0,False,0,1,array,adjMatrix,0.0152587890625
8,0,False,0,1,heap,adjList,0.005245208740234375
8,0,False,0,1,heap,adjMatrix,0.01621246337890625
8,0,False,0,1,array,adjList,0.006198883056640625
8,0,False,0,1,array,adjMatrix,0.007867813110351562
9,0,False,0,1,heap,adjList,0.0030994415283203125
9,0,False,0,1,heap,adjMatrix,0.00476837158203125
9,0,False,0,1,array,adjList,0.009059906005859375
9,0,False,0,1,array,adjMatrix,0.009059906005859375
