dimension,edges,isDirectional,minWeight,maxWeight,queue,graphInput,time
100,4950,False,1,50,heap,adjList,6.201028823852539
100,4950,False,1,50,heap,adjMatrix,8.207082748413086
100,4950,False,1,50,array,adjList,7.8582763671875
100,4950,False,1,50,array,adjMatrix,9.161949157714844
110,5995,False,1,50,heap,adjList,7.336854934692383
110,5995,False,1,50,heap,adjMatrix,9.356975555419922
110,5995,False,1,50,array,adjList,9.264945983886719
110,5995,False,1,50,array,adjMatrix,11.276006698608398
120,7140,False,1,50,heap,adjList,8.260965347290039
120,7140,False,1,50,heap,adjMatrix,10.810136795043945
120,7140,False,1,50,array,adjList,12.626886367797852
120,7140,False,1,50,array,adjMatrix,14.85300064086914
130,8385,False,1,50,heap,adjList,9.656906127929688
130,8385,False,1,50,heap,adjMatrix,12.164831161499023
130,8385,False,1,50,array,adjList,12.48478889465332
130,8385,False,1,50,array,adjMatrix,14.95814323425293
140,9730,False,1,50,heap,adjList,12.46786117553711
140,9730,False,1,50,heap,adjMatrix,15.322208404541016
140,9730,False,1,50,array,adjList,16.01099967956543
140,9730,False,1,50,array,adjMatrix,19.524812698364258
150,11175,False,1,50,heap,adjList,14.758825302124023
150,11175,False,1,50,heap,adjMatrix,18.607139587402344
150,11175,False,1,50,array,adjList,18.88585090637207
150,11175,False,1,50,array,adjMatrix,22.35579490661621
160,12720,False,1,50,heap,adjList,15.610218048095703
160,12720,False,1,50,heap,adjMatrix,19.87314224243164
160,12720,False,1,50,array,adjList,20.334959030151367
160,12720,False,1,50,array,adjMatrix,23.919105529785156
170,14365,False,1,50,heap,adjList,16.02911949157715
170,14365,False,1,50,heap,adjMatrix,20.409107208251953
170,14365,False,1,50,array,adjList,23.48804473876953
170,14365,False,1,50,array,adjMatrix,27.511119842529297
180,16110,False,1,50,heap,adjList,17.548084259033203
180,16110,False,1,50,heap,adjMatrix,22.429943084716797
180,16110,False,1,50,array,adjList,27.79388427734375
180,16110,False,1,50,array,adjMatrix,32.379865646362305
190,17955,False,1,50,heap,adjList,19.468069076538086
190,17955,False,1,50,heap,adjMatrix,25.112152099609375
190,17955,False,1,50,array,adjList,29.292821884155273
190,17955,False,1,50,array,adjMatrix,34.4388484954834
200,19900,False,1,50,heap,adjList,21.689176559448242
200,19900,False,1,50,heap,adjMatrix,27.080297470092773
200,19900,False,1,50,array,adjList,35.96377372741699
200,19900,False,1,50,array,adjMatrix,42.267799377441406
210,21945,False,1,50,heap,adjList,23.452043533325195
210,21945,False,1,50,heap,adjMatrix,30.00807762145996
210,21945,False,1,50,array,adjList,40.41600227355957
210,21945,False,1,50,array,adjMatrix,47.409772872924805
220,24090,False,1,50,heap,adjList,24.256229400634766
220,24090,False,1,50,heap,adjMatrix,31.491994857788086
220,24090,False,1,50,array,adjList,45.961856842041016
220,24090,False,1,50,array,adjMatrix,53.10201644897461
230,26335,False,1,50,heap,adjList,32.402992248535156
230,26335,False,1,50,heap,adjMatrix,39.29281234741211
230,26335,False,1,50,array,adjList,50.743818283081055
230,26335,False,1,50,array,adjMatrix,58.32695960998535
240,28680,False,1,50,heap,adjList,30.119895935058594
240,28680,False,1,50,heap,adjMatrix,38.420915603637695
240,28680,False,1,50,array,adjList,49.987077713012695
240,28680,False,1,50,array,adjMatrix,58.409929275512695
250,31125,False,1,50,heap,adjList,38.41376304626465
250,31125,False,1,50,heap,adjMatrix,47.66416549682617
250,31125,False,1,50,array,adjList,57.87801742553711
250,31125,False,1,50,array,adjMatrix,67.0928955078125
100,4950,False,1,50,heap,adjList,6.508111953735352
100,4950,False,1,50,heap,adjMatrix,8.368968963623047
100,4950,False,1,50,array,adjList,8.167028427124023
100,4950,False,1,50,array,adjMatrix,9.634017944335938
110,5995,False,1,50,heap,adjList,7.222175598144531
110,5995,False,1,50,heap,adjMatrix,9.074926376342773
110,5995,False,1,50,array,adjList,8.949995040893555
110,5995,False,1,50,array,adjMatrix,10.973930358886719
120,7140,False,1,50,heap,adjList,8.183002471923828
120,7140,False,1,50,heap,adjMatrix,10.392189025878906
120,7140,False,1,50,array,adjList,11.405229568481445
120,7140,False,1,50,array,adjMatrix,13.60774040222168
130,8385,False,1,50,heap,adjList,11.380195617675781
