dimension,edges,isDirectional,minWeight,maxWeight,queue,graphInput,time
700,0,False,0,0,heap,adjList,0.005245208740234375
700,0,False,0,0,heap,adjMatrix,0.04482269287109375
700,0,False,0,0,array,adjList,0.0030994415283203125
700,0,False,0,0,array,adjMatrix,0.04315376281738281
700,122685,False,0,1,heap,adjList,220.79896926879883
700,122685,False,0,1,heap,adjMatrix,273.87499809265137
700,122685,False,0,1,array,adjList,52.57105827331543
700,122685,False,0,1,array,adjMatrix,103.74593734741211
700,162889,False,0,2,heap,adjList,166.5637493133545
700,162889,False,0,2,heap,adjMatrix,224.5309352874756
700,162889,False,0,2,array,adjList,96.12083435058594
700,162889,False,0,2,array,adjMatrix,154.1602611541748
700,183445,False,0,3,heap,adjList,159.0569019317627
700,183445,False,0,3,heap,adjMatrix,223.94585609436035
700,183445,False,0,3,array,adjList,127.02417373657227
700,183445,False,0,3,array,adjMatrix,184.92627143859863
700,195714,False,0,4,heap,adjList,159.55805778503418
700,195714,False,0,4,heap,adjMatrix,224.57408905029297
700,195714,False,0,4,array,adjList,165.4989719390869
700,195714,False,0,4,array,adjMatrix,229.4771671295166
700,203983,False,0,5,heap,adjList,195.0221061706543
700,203983,False,0,5,heap,adjMatrix,261.68084144592285
700,203983,False,0,5,array,adjList,185.66298484802246
700,203983,False,0,5,array,adjMatrix,261.1520290374756
700,209799,False,0,6,heap,adjList,204.8971652984619
700,209799,False,0,6,heap,adjMatrix,262.8970146179199
700,209799,False,0,6,array,adjList,199.68891143798828
700,209799,False,0,6,array,adjMatrix,263.40579986572266
700,214469,False,0,7,heap,adjList,207.34286308288574
700,214469,False,0,7,heap,adjMatrix,276.5660285949707
700,214469,False,0,7,array,adjList,220.37076950073242
700,214469,False,0,7,array,adjMatrix,284.3961715698242
700,217284,False,0,8,heap,adjList,212.8300666809082
700,217284,False,0,8,heap,adjMatrix,289.2739772796631
700,217284,False,0,8,array,adjList,237.75100708007812
700,217284,False,0,8,array,adjMatrix,302.1807670593262
700,220067,False,0,9,heap,adjList,203.7680149078369
700,220067,False,0,9,heap,adjMatrix,282.38391876220703
700,220067,False,0,9,array,adjList,259.11498069763184
