dimension,edges,isDirectional,minWeight,maxWeight,algo,time
1,0,False,0,50,dHeapNList,0.0069141387939453125
1,0,False,0,50,dNormal,0.0011920928955078125
2,1,False,0,50,dHeapNList,0.026941299438476562
2,1,False,0,50,dNormal,0.016927719116210938
3,3,False,0,50,dHeapNList,0.05698204040527344
3,3,False,0,50,dNormal,0.034809112548828125
4,6,False,0,50,dHeapNList,0.07700920104980469
4,6,False,0,50,dNormal,0.0209808349609375
5,10,False,0,50,dHeapNList,0.1881122589111328
5,10,False,0,50,dNormal,0.035762786865234375
6,14,False,0,50,dHeapNList,0.3879070281982422
6,14,False,0,50,dNormal,0.053882598876953125
7,21,False,0,50,dHeapNList,0.9379386901855469
7,21,False,0,50,dNormal,0.09870529174804688
8,27,False,0,50,dHeapNList,1.8146038055419922
8,27,False,0,50,dNormal,0.13780593872070312
9,36,False,0,50,dHeapNList,3.329038619995117
9,36,False,0,50,dNormal,0.20885467529296875
10,43,False,0,50,dHeapNList,4.884958267211914
10,43,False,0,50,dNormal,0.27108192443847656
11,54,False,0,50,dHeapNList,8.727073669433594
11,54,False,0,50,dNormal,0.4189014434814453
12,62,False,0,50,dHeapNList,11.91401481628418
12,62,False,0,50,dNormal,0.5650520324707031
13,78,False,0,50,dHeapNList,19.405126571655273
13,78,False,0,50,dNormal,0.7789134979248047
14,88,False,0,50,dHeapNList,25.002002716064453
14,88,False,0,50,dNormal,0.9632110595703125
15,103,False,0,50,dHeapNList,34.27290916442871
15,103,False,0,50,dNormal,1.3477802276611328
16,116,False,0,50,dHeapNList,46.151161193847656
16,116,False,0,50,dNormal,1.6300678253173828
17,133,False,0,50,dHeapNList,60.4548454284668
17,133,False,0,50,dNormal,2.003908157348633
18,152,False,0,50,dHeapNList,80.57618141174316
18,152,False,0,50,dNormal,2.5751590728759766
19,169,False,0,50,dHeapNList,107.91802406311035
19,169,False,0,50,dNormal,3.4623146057128906
20,186,False,0,50,dHeapNList,122.16901779174805
20,186,False,0,50,dNormal,3.8449764251708984
21,203,False,0,50,dHeapNList,147.20892906188965
21,203,False,0,50,dNormal,6.290912628173828
22,227,False,0,50,dHeapNList,182.52015113830566
22,227,False,0,50,dNormal,6.080865859985352
23,250,False,0,50,dHeapNList,264.4951343536377
23,250,False,0,50,dNormal,8.466958999633789
24,273,False,0,50,dHeapNList,265.9180164337158
24,273,False,0,50,dNormal,8.661031723022461
25,294,False,0,50,dHeapNList,310.78124046325684
25,294,False,0,50,dNormal,9.204864501953125
26,321,False,0,50,dHeapNList,376.0571479797363
26,321,False,0,50,dNormal,12.215852737426758
27,341,False,0,50,dHeapNList,565.2680397033691
27,341,False,0,50,dNormal,19.332170486450195
28,372,False,0,50,dHeapNList,499.97591972351074
28,372,False,0,50,dNormal,18.453121185302734
29,393,False,0,50,dHeapNList,568.2797431945801
29,393,False,0,50,dNormal,18.237829208374023
30,429,False,0,50,dHeapNList,687.0357990264893
30,429,False,0,50,dNormal,20.83301544189453
31,458,False,0,50,dHeapNList,770.3800201416016
31,458,False,0,50,dNormal,24.77431297302246
32,481,False,0,50,dHeapNList,858.2489490509033
32,481,False,0,50,dNormal,29.819250106811523
33,520,False,0,50,dHeapNList,1019.6099281311035
33,520,False,0,50,dNormal,30.894756317138672
34,548,False,0,50,dHeapNList,1110.4068756103516
34,548,False,0,50,dNormal,33.77580642700195
35,579,False,0,50,dHeapNList,1322.0188617706299
35,579,False,0,50,dNormal,40.24982452392578
36,618,False,0,50,dHeapNList,1515.0890350341797
36,618,False,0,50,dNormal,45.87697982788086
37,654,False,0,50,dHeapNList,1633.3198547363281
37,654,False,0,50,dNormal,52.20389366149902
38,689,False,0,50,dHeapNList,1783.531904220581
38,689,False,0,50,dNormal,65.65403938293457
39,727,False,0,50,dHeapNList,2114.798069000244
39,727,False,0,50,dNormal,67.08979606628418
40,767,False,0,50,dHeapNList,2366.419792175293
40,767,False,0,50,dNormal,75.27899742126465
41,802,False,0,50,dHeapNList,2714.9507999420166
41,802,False,0,50,dNormal,93.86491775512695
42,846,False,0,50,dHeapNList,2895.0581550598145
42,846,False,0,50,dNormal,103.14798355102539
43,886,False,0,50,dHeapNList,2994.9748516082764
43,886,False,0,50,dNormal,103.16991806030273
44,928,False,0,50,dHeapNList,3785.8879566192627
44,928,False,0,50,dNormal,184.33308601379395
45,967,False,0,50,dHeapNList,4050.801992416382
45,967,False,0,50,dNormal,130.58710098266602
46,1007,False,0,50,dHeapNList,4237.000942230225
46,1007,False,0,50,dNormal,143.95880699157715
47,1054,False,0,50,dHeapNList,4629.09197807312
47,1054,False,0,50,dNormal,175.9960651397705
48,1110,False,0,50,dHeapNList,5506.736755371094
48,1110,False,0,50,dNormal,221.75192832946777
49,1141,False,0,50,dHeapNList,5082.166910171509
49,1141,False,0,50,dNormal,203.37510108947754
50,1207,False,0,50,dHeapNList,6050.366163253784
50,1207,False,0,50,dNormal,244.2629337310791
51,1251,False,0,50,dHeapNList,6309.1881275177
51,1251,False,0,50,dNormal,204.78105545043945
52,1297,False,0,50,dHeapNList,6514.442920684814
52,1297,False,0,50,dNormal,222.82075881958008
53,1346,False,0,50,dHeapNList,7296.400785446167
53,1346,False,0,50,dNormal,460.18314361572266
54,1394,False,0,50,dHeapNList,7734.684944152832
54,1394,False,0,50,dNormal,359.76195335388184
55,1460,False,0,50,dHeapNList,9511.866807937622
55,1460,False,0,50,dNormal,356.9948673248291
56,1509,False,0,50,dHeapNList,9523.45895767212
56,1509,False,0,50,dNormal,317.22307205200195
57,1574,False,0,50,dHeapNList,10640.45000076294
57,1574,False,0,50,dNormal,489.36915397644043
58,1627,False,0,50,dHeapNList,10965.696096420288
58,1627,False,0,50,dNormal,478.2228469848633
59,1672,False,0,50,dHeapNList,10745.723009109497
59,1672,False,0,50,dNormal,407.3798656463623
60,1733,False,0,50,dHeapNList,12443.62497329712
60,1733,False,0,50,dNormal,439.5759105682373
61,1789,False,0,50,dHeapNList,15647.333145141602
61,1789,False,0,50,dNormal,637.7689838409424
62,1846,False,0,50,dHeapNList,13825.070142745972
62,1846,False,0,50,dNormal,765.1369571685791
1,0,False,0,50,dHeapNList,0.0059604644775390625
1,0,False,0,50,dNormal,0.00476837158203125
2,1,False,0,50,dHeapNList,0.02193450927734375
2,1,False,0,50,dNormal,0.016927719116210938
3,3,False,0,50,dHeapNList,0.05412101745605469
3,3,False,0,50,dNormal,0.030279159545898438
4,6,False,0,50,dHeapNList,0.2110004425048828
4,6,False,0,50,dNormal,0.05602836608886719
